,Random_forest,gradient_boost,xgb,catboost
LIMIT_BAL,0.08844707021862783,0.16757862359453374,0.07411436,52.72514678384496
AGE,0.06512122951448751,0.00227143268627392,0.01439507,0.9227185170978222
PAY_SEPT,0.09088431611018391,0.34847862594459444,0.30475658,3.1259502340335907
PAY_AUG,0.05201679092832508,0.038410779651581385,0.08174432,0.7207146403792809
PAY_JULY,0.03158189585183176,0.029268273452225244,0.06939589,0.5978669233769097
PAY_JUNE,0.022102961610105946,0.006389109232257659,0.035729744,0.37889034213275885
PAY_MAY,0.01719284936561665,0.012246855326950079,0.043089382,0.38301253057546253
PAY_APRIL,0.015393537082548986,0.009503423143639729,0.03453078,0.5804491547559516
BILL_AMT_SEPT,0.06727613477788695,0.04953312207973672,0.030670507,3.867127026683304
BILL_AMT_JUNE,0.06115518454398416,0.012732176908266855,0.023028566,2.434243582340101
BILL_AMT_MAY,0.059665518487622506,0.010708830478802606,0.024116224,2.4651808601570306
BILL_AMT_APRIL,0.06090443160093519,0.025929644273571965,0.03947664,2.162825292339454
PAY_AMT_SEPT,0.06494980271745635,0.041165561983503275,0.035333987,6.319411146362344
PAY_AMT_AUG,0.05837621113037666,0.033632224187235174,0.029706024,4.169887274739322
PAY_AMT_JULY,0.06281953233781234,0.05085184750731362,0.04049928,2.5316758781801916
PAY_AMT_JUNE,0.06232332981955668,0.0600703881414699,0.043323986,5.317472395731951
PAY_AMT_MAY,0.05617242565058616,0.04379366788508855,0.038379744,5.240105839946343
PAY_AMT_APRIL,0.06361677825205546,0.05743541352295516,0.0377089,6.057321577323229
